movie,recommendation_1,recommendation_2,recommendation_3,recommendation_4,recommendation_5
Avatar,Titan A.E.,Small Soldiers,Independence Day,Ender's Game,Aliens vs Predator: Requiem
Pirates of the Caribbean: At World's End,Pirates of the Caribbean: Dead Man's Chest,Pirates of the Caribbean: On Stranger Tides,Pirates of the Caribbean: The Curse of the Black Pearl,"20,000 Leagues Under the Sea",Puss in Boots
Spectre,Quantum of Solace,Never Say Never Again,Skyfall,From Russia with Love,Thunderball
The Dark Knight Rises,The Dark Knight,Batman Begins,Batman,Batman Returns,Batman
John Carter,Star Trek: Insurrection,Mission to Mars,Captain America: The First Avenger,Escape from Planet Earth,Ghosts of Mars
Spider-Man 3,Spider-Man 2,Spider-Man,The Amazing Spider-Man 2,The Amazing Spider-Man,Arachnophobia
Tangled,Out of Inferno,Aladdin,Toy Story 3,The Princess and the Frog,Frozen
Avengers: Age of Ultron,Iron Man,Iron Man 3,The Avengers,Captain America: Civil War,Iron Man 2
Harry Potter and the Half-Blood Prince,Harry Potter and the Order of the Phoenix,Harry Potter and the Prisoner of Azkaban,Harry Potter and the Goblet of Fire,Harry Potter and the Chamber of Secrets,Harry Potter and the Philosopher's Stone
Batman v Superman: Dawn of Justice,Man of Steel,Batman Begins,Batman,Teenage Mutant Ninja Turtles,Thor
Superman Returns,Superman II,Superman III,Superman IV: The Quest for Peace,Superman,Man of Steel
Quantum of Solace,Spectre,Never Say Never Again,Diamonds Are Forever,Octopussy,From Russia with Love
Pirates of the Caribbean: Dead Man's Chest,Pirates of the Caribbean: At World's End,Pirates of the Caribbean: On Stranger Tides,Pirates of the Caribbean: The Curse of the Black Pearl,The Pirates! In an Adventure with Scientists!,"20,000 Leagues Under the Sea"
The Lone Ranger,The Wild Bunch,Torque,The Legend of the Lone Ranger,West Side Story,District B13
Man of Steel,Superman Returns,Superman II,Batman v Superman: Dawn of Justice,Ong Bak 2,X-Men: First Class
The Chronicles of Narnia: Prince Caspian,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",The Chronicles of Narnia: The Voyage of the Dawn Treader,The Lion King,The Wizard of Oz,The Book of Life
The Avengers,Avengers: Age of Ultron,Captain America: Civil War,Iron Man 3,Captain America: The First Avenger,Iron Man
